Project_Name,Project_Code
HR Core System Migration,HRMIG001
Finance Automation Platform,FINAUTO002
Employee Self-Service Portal,ESSP003
Digital Workplace App,DWA004
Customer Experience Redesign,CEX005
Payroll Integration Engine,PAYINT006
Analytics Dashboard 2.0,ANAD207
E-Learning Platform,ELRN008
Talent Acquisition Module,TALACQ009
Time & Attendance Tracker,TAT010
Travel Request Workflow,TRWF011
IT Ticketing System Upgrade,ITTK012
GDPR Compliance Tracker,GDPR013
Remote Work Infrastructure,REMOTE015
DevOps Pipeline Automation,DOPA017
